Name,FighterId,WeightClass,BirthDate,Height,Weight,Reach,Wins,Losses,Draws,NoContests,TechnicalKnockouts,TechnicalKnockoutLosses,Submissions,SubmissionLosses,TitleWins,TitleLosses,TitleDraws,SigStrikesLandedPerMinute,SigStrikeAccuracy,TakedownAverage,SubmissionAverage,StrikeFinishPercentage,TechnicalKnockoutPercentage,DecisionPercentage,WorkAverage
Israel Adesanya,140000074,Middleweight,1989-07-22T00:00:00,76.0,185.0,80.0,21,1,0,0,26,0,0,0,15,3,0,11.9,92.3,0.0,0.7,31.6,31.6,47.4,0.0
Tom Breese,140000749,Middleweight,1991-09-26T00:00:00,75.0,186.0,73.0,12,3,0,0,9,2,11,2,0,0,0,6.0,76.2,0.0,1.9,35.7,35.7,11.9,0.0
Bruno Silva,140000622,Flyweight,1990-03-16T00:00:00,64.0,126.0,65.0,12,5,2,1,9,2,5,2,0,0,0,5.4,73.4,5.2,0.0,13.4,13.4,0.0,0.0
Francis Ngannou,140000098,Heavyweight,1986-09-05T00:00:00,76.0,263.0,83.0,16,3,0,0,13,0,5,0,1,1,1,2.9,48.9,0.2,0.5,50.4,50.4,0.0,0.29
Jimmie Rivera,140000085,Featherweight,1989-06-29T00:00:00,64.0,135.0,68.5,23,5,0,0,8,2,4,0,4,0,0,8.3,62.6,1.8,0.2,7.4,7.4,30.8,2.9880000000000004
Stipe Miocic,140000558,Heavyweight,1982-08-19T00:00:00,76.0,234.0,80.0,20,4,0,0,4,1,0,0,2,1,0,1.5,34.3,0.6,0.0,20.6,20.6,11.4,0.0
Matt Dixon,140000985,Welterweight,1995-10-09T00:00:00,70.0,170.0,75.0,9,1,0,0,2,0,0,0,1,0,0,0.7,25.4,1.0,0.0,0.0,0.0,0.0,0.0
Joel Alvarez,140000100,Lightweight,1993-03-02T00:00:00,75.0,157.0,77.0,19,2,0,0,4,1,19,0,0,0,0,5.7,65.0,0.0,2.1,11.4,11.4,0.0,0.0
Marcos Rogerio de Lima,140000122,Heavyweight,1985-06-25T00:00:00,73.0,259.0,75.0,19,8,1,0,15,1,4,8,0,0,0,4.7,79.2,1.6,0.8,21.1,21.1,10.0,6.016000000000001
Kyler Phillips,140000890,Bantamweight,1995-06-12T00:00:00,68.0,135.0,72.0,9,2,0,0,1,0,0,0,0,0,0,1.2,25.3,0.7,0.1,4.1,4.1,4.1,0.084
Chris Fishgold,140000109,Featherweight,1992-06-06T00:00:00,68.0,149.0,68.0,18,4,1,0,1,0,4,0,1,0,0,0.6,19.2,0.8,0.4,0.0,0.0,0.0,0.192
Khabib Nurmagomedov,140000601,Lightweight,1988-09-20T00:00:00,70.0,155.0,70.0,29,0,0,0,14,0,19,0,12,0,0,12.5,101.3,16.3,2.4,12.1,12.1,36.2,489.0
Joseph Benavidez,140000019,Flyweight,1984-07-31T00:00:00,64.0,125.0,65.0,28,8,0,0,12,3,11,2,0,8,0,5.3,48.9,2.1,0.9,20.5,20.5,37.6,10.017000000000001
Evan Dunham,140000722,Lightweight,1981-12-18T00:00:00,70.0,150.0,70.0,18,9,1,0,4,5,8,3,0,0,0,6.9,51.0,2.4,1.3,4.6,4.6,32.6,21.528
Korey Kuppe,140001033,Welterweight,1989-01-23T00:00:00,77.0,170.0,77.0,8,4,0,0,3,5,11,0,0,0,0,1.9,119.3,0.0,2.6,0.0,0.0,0.0,0.0
Ottman Azaitar,140000596,Lightweight,1990-02-20T00:00:00,68.0,155.0,71.0,13,0,0,0,9,0,2,0,0,0,0,7.6,54.5,0.0,0.0,14.6,14.6,0.0,0.0
Joe Duffy,140000182,Lightweight,1988-02-18T00:00:00,70.0,155.0,73.0,16,5,0,0,9,2,15,5,0,0,0,6.2,52.2,2.2,1.7,11.0,11.0,11.0,23.188000000000002
Khama Worthy,140000553,Lightweight,1986-10-15T00:00:00,71.0,155.0,74.0,16,9,0,0,15,13,8,3,0,0,0,11.2,82.9,0.0,1.8,10.7,10.7,0.0,0.0
Lauren Murphy,140000517,Women's Flyweight,1983-07-27T00:00:00,65.0,125.0,67.0,15,5,0,0,1,0,0,0,0,0,0,0.5,19.4,0.2,0.0,1.5,1.5,2.9,0.0
Demian Maia,140000047,Welterweight,1977-11-06T00:00:00,73.0,170.0,72.0,28,11,0,0,1,1,6,0,0,1,0,0.7,38.7,1.0,0.4,1.0,1.0,16.3,0.27999999999999997
Jamie Pickett,140000410,Middleweight,1988-08-29T00:00:00,74.0,185.0,80.0,12,6,0,0,3,0,0,1,0,0,0,1.0,32.7,0.5,0.1,1.9,1.9,1.9,0.05
Matt Frevola,140000259,Lightweight,1990-06-11T00:00:00,69.0,155.0,71.0,8,3,1,0,1,2,2,0,0,0,0,2.2,40.5,2.1,0.9,0.0,0.0,15.1,4.158000000000001
Ricardo Ramos,140000029,Featherweight,1995-08-01T00:00:00,69.0,146.0,72.0,15,4,0,0,0,0,1,0,0,0,0,0.5,15.5,0.4,0.1,0.8,0.8,3.0,0.020000000000000004
Jacare Souza,140000309,Middleweight,1979-12-07T00:00:00,73.0,186.0,72.0,26,10,0,0,1,0,2,0,0,0,0,0.3,19.8,0.3,0.2,1.7,1.7,1.3,0.018
Karl Roberson,140000016,Middleweight,1990-10-04T00:00:00,73.0,185.0,74.0,9,4,0,0,5,0,11,11,0,0,0,7.7,100.1,2.5,1.9,12.6,12.6,25.3,36.574999999999996
Derrick Lewis,140000173,Heavyweight,1985-02-07T00:00:00,75.0,264.0,79.0,25,8,0,1,4,1,0,0,0,0,0,0.5,23.3,0.1,0.0,15.8,15.8,2.3,0.0
Aleksa Camur,140000513,Light Heavyweight,1995-09-25T00:00:00,73.0,205.0,74.0,6,2,0,0,0,0,0,0,0,0,0,0.3,17.4,0.0,0.0,0.9,0.9,0.9,0.0
Gabriel Benitez,140000554,Featherweight,1988-06-15T00:00:00,68.0,146.0,71.0,22,10,0,0,6,2,7,1,0,0,0,3.1,36.7,0.1,0.8,4.4,4.4,4.4,0.24800000000000005
Bartosz Fabinski,140000815,Welterweight,1986-04-26T00:00:00,72.0,184.0,75.0,15,5,0,0,8,0,0,4,0,0,0,2.2,79.0,7.1,0.0,0.0,0.0,15.0,0.0
Malcolm Gordon,140000937,Flyweight,1990-05-19T00:00:00,67.0,125.0,71.0,13,5,0,0,1,1,1,0,0,0,0,0.5,28.0,0.3,0.0,0.0,0.0,1.1,0.0
Maycee Barber,140000211,Women's Flyweight,1998-05-18T00:00:00,65.0,125.0,65.0,9,2,0,0,2,0,1,0,0,0,0,2.0,34.1,0.6,0.1,24.0,24.0,4.0,0.12
Andrew Sanchez,140000321,Middleweight,1988-04-08T00:00:00,73.0,185.0,74.0,13,7,0,0,14,10,4,0,4,2,0,8.5,73.3,5.0,0.0,9.9,9.9,28.1,0.0
Marc-Andre Barriault,140000322,Middleweight,1990-02-18T00:00:00,73.0,185.0,74.0,13,4,0,1,14,0,0,0,7,0,0,13.4,75.6,0.8,0.0,12.8,12.8,12.8,0.0
Paul Felder,140000096,Lightweight,1984-04-25T00:00:00,71.0,156.0,70.0,17,6,0,0,2,0,0,0,0,0,0,0.6,20.3,0.0,0.0,2.9,2.9,2.9,0.0
Mara Romero Borella,140000038,Women's Flyweight,1986-06-03T00:00:00,66.0,125.0,69.0,12,9,0,2,6,8,8,6,0,0,0,5.0,73.1,3.6,0.5,0.0,0.0,8.5,9.0
Alex Perez,140000222,Flyweight,1992-03-21T00:00:00,66.0,125.0,65.0,24,6,0,0,15,3,12,12,3,6,0,13.7,99.0,8.6,3.9,11.5,11.5,11.5,459.498
Chase Gibson,140001035,Lightweight,1990-02-07T00:00:00,70.0,155.0,72.0,10,5,0,0,7,2,7,0,0,0,0,5.7,73.7,0.0,0.0,0.0,0.0,0.0,0.0
John Castaneda,140000943,Bantamweight,1991-12-18T00:00:00,66.0,136.0,71.0,18,5,0,0,2,0,1,0,0,0,0,0.9,23.5,0.2,0.0,1.0,1.0,0.0,0.0
Ricardo Lamas,140000395,Featherweight,1982-05-21T00:00:00,68.0,145.0,71.0,20,8,0,0,3,3,3,0,0,1,0,1.7,35.3,1.0,0.5,13.3,13.3,18.7,0.85
Hunter Azure,140000453,Featherweight,1992-03-02T00:00:00,68.0,135.0,69.0,9,2,0,0,7,2,2,0,0,0,0,9.3,90.8,4.7,3.1,0.0,0.0,42.0,135.50100000000003
Klidson Abreu,140000114,Light Heavyweight,1992-12-24T00:00:00,74.0,258.0,75.0,15,5,0,1,12,9,17,0,0,0,0,6.2,86.8,1.9,0.0,0.0,0.0,15.1,0.0
Antonio Arroyo,140000481,Middleweight,1989-07-01T00:00:00,75.0,186.0,73.0,9,5,0,0,7,2,7,3,0,0,0,4.7,94.0,1.9,0.4,0.0,0.0,11.9,3.572
Junior Dos Santos,140000172,Heavyweight,1984-01-30T00:00:00,76.0,246.0,77.0,21,9,0,0,2,1,0,0,0,0,0,0.5,16.5,0.0,0.0,11.1,11.1,1.8,0.0
Jamie Mullarkey,140000624,Lightweight,1994-08-17T00:00:00,72.0,155.0,74.0,14,4,0,0,11,2,4,0,0,0,0,3.7,48.0,4.3,0.5,12.3,12.3,0.0,7.955
Josh Emmett,140000243,Featherweight,1985-03-04T00:00:00,66.0,145.0,70.0,16,2,0,0,9,1,3,0,0,0,0,6.3,49.6,2.1,0.2,20.1,20.1,26.8,2.6460000000000004
Dhiego Lima,140000290,Welterweight,1989-01-31T00:00:00,74.0,171.0,75.0,17,9,0,0,4,5,5,1,1,3,0,3.4,45.5,1.4,0.7,4.2,4.2,12.1,3.332
KB Bhullar,140001046,Middleweight,1991-10-12T00:00:00,76.0,186.0,78.0,8,2,0,0,1,0,0,0,0,0,0,0.8,21.3,0.0,0.0,0.0,0.0,0.0,0.0
Wu Yanan,140000589,Women's Flyweight,1996-04-18T00:00:00,68.0,135.0,66.0,11,4,0,0,1,0,0,0,0,0,0,0.8,21.6,0.1,0.1,0.0,0.0,0.0,0.008000000000000002
Karol Rosa,140000580,Women's Bantamweight,1994-12-30T00:00:00,65.0,135.0,67.0,15,3,0,0,7,0,3,3,0,0,0,10.3,79.7,2.6,0.0,0.0,0.0,29.1,0.0
Gavin Tucker,140000499,Featherweight,1986-06-17T00:00:00,66.0,146.0,66.0,13,2,0,0,5,1,8,0,0,0,0,5.5,54.6,3.7,1.9,0.0,0.0,14.9,38.665
Irene Aldana,140000345,Women's Bantamweight,1988-03-26T00:00:00,69.0,135.0,68.5,13,6,0,0,1,0,1,0,0,0,0,1.1,18.6,0.0,0.0,2.0,2.0,3.0,0.0
William Knight,140000549,Light Heavyweight,1988-04-03T00:00:00,70.0,206.0,73.0,10,2,0,0,14,2,0,0,0,0,0,8.3,116.4,5.5,0.7,38.2,38.2,12.7,31.955000000000002
Jessica Eye,140000403,Women's Flyweight,1986-07-27T00:00:00,66.0,125.0,66.0,15,10,0,1,2,1,1,1,0,1,0,3.1,37.9,0.4,0.4,0.0,0.0,13.7,0.4960000000000001
Impa Kasanganay,140000577,Middleweight,1994-01-17T00:00:00,71.0,170.0,75.0,9,2,0,0,0,1,1,0,0,0,0,1.7,31.0,0.6,0.1,0.0,0.0,15.9,0.10200000000000001
Sean O'Malley,140000711,Bantamweight,1994-10-24T00:00:00,71.0,135.0,72.0,14,1,0,0,8,1,1,0,0,0,0,6.2,54.7,0.5,0.5,29.0,29.0,11.6,1.55
Ludovit Klein,140001042,Featherweight,1995-02-22T00:00:00,67.0,145.0,72.5,17,4,0,0,14,3,14,6,0,0,0,9.8,97.6,10.9,0.0,14.1,14.1,0.0,0.0
Mark Striegl,140001007,Bantamweight,1988-06-23T00:00:00,68.0,135.0,70.0,18,3,0,1,0,1,11,1,0,0,0,2.2,34.0,0.0,0.0,0.0,0.0,0.0,0.0
Junyong Park,140000587,Middleweight,1991-02-27T00:00:00,70.0,185.0,73.0,13,5,0,0,4,1,2,2,0,0,0,3.8,52.7,2.1,0.4,0.0,0.0,15.0,3.192
Alejandro Flores,140001000,Featherweight,1991-08-06T00:00:00,69.0,145.0,74.0,19,3,0,0,12,2,4,4,0,0,0,7.1,56.7,0.0,0.0,0.0,0.0,0.0,0.0
Diego Sanchez,140000131,Welterweight,1981-12-31T00:00:00,70.0,170.0,72.0,31,13,0,0,8,3,5,0,1,1,0,2.1,39.6,1.2,0.6,12.0,12.0,26.0,1.512
Chase Sherman,140000736,Heavyweight,1989-11-16T00:00:00,76.0,256.0,78.0,15,8,0,0,24,12,0,0,0,0,0,10.8,82.6,0.0,0.0,15.0,15.0,13.0,0.0
Jussier Formiga,140000214,Flyweight,1985-04-14T00:00:00,65.0,125.0,67.0,23,8,0,0,0,4,10,0,0,0,0,1.4,56.9,1.8,0.6,0.0,0.0,19.3,1.512
Ashlee Evans-Smith,140000081,Women's Flyweight,1987-07-09T00:00:00,68.0,135.0,67.0,6,5,0,0,0,0,0,0,0,0,0,0.5,13.1,0.1,0.0,1.0,1.0,2.1,0.0
Gloria de Paula,140001065,Women's Strawweight,1995-06-10T00:00:00,65.0,115.0,67.5,5,4,0,0,1,0,0,0,0,0,0,1.7,40.5,0.0,0.5,0.0,0.0,5.4,0.0
Matthew Semelsberger,140001006,Welterweight,1992-11-23T00:00:00,73.0,170.0,75.0,9,3,0,0,2,0,0,0,0,0,0,2.0,28.2,0.3,0.2,5.3,5.3,2.7,0.12
Vanessa Melo,140000612,Women's Bantamweight,1988-03-27T00:00:00,65.0,135.0,65.0,11,8,0,0,0,0,1,0,0,0,0,1.7,21.3,0.0,0.0,0.0,0.0,2.5,0.0
Jimmy Crute,140000066,Light Heavyweight,1996-03-04T00:00:00,74.0,205.0,74.0,12,2,0,0,2,0,2,0,0,0,0,1.8,40.8,2.1,0.9,14.1,14.1,0.0,3.402
Brad Riddell,140000625,Lightweight,1991-09-30T00:00:00,67.0,155.0,71.0,10,1,0,0,11,0,0,2,0,0,0,10.1,86.6,4.2,0.0,0.0,0.0,52.9,0.0
Gillian Robertson,140000108,Women's Flyweight,1995-05-17T00:00:00,65.0,125.0,63.0,9,6,0,0,1,1,4,1,0,0,0,1.3,50.0,1.7,0.6,4.5,4.5,4.5,1.3259999999999998
Li Jingliang,140000591,Welterweight,1988-03-20T00:00:00,72.0,171.0,71.5,18,7,0,0,6,0,3,1,0,0,0,3.1,37.2,0.9,0.0,23.4,23.4,10.0,0.0
Tucker Lutz,140001036,Lightweight,1994-07-12T00:00:00,68.0,145.0,72.0,12,1,0,0,9,1,3,0,0,0,0,7.5,68.3,3.4,0.5,0.0,0.0,28.0,12.75
Mallory Martin,140000562,Women's Strawweight,1994-01-29T00:00:00,64.0,115.0,63.0,7,4,0,0,1,0,1,1,0,0,0,1.3,34.5,1.1,0.2,0.0,0.0,0.0,0.28600000000000003
Roosevelt Roberts,140000303,Lightweight,1994-02-11T00:00:00,74.0,155.0,73.0,10,3,0,1,3,1,5,1,0,0,0,3.0,51.0,1.4,0.9,0.0,0.0,13.9,3.7799999999999994
Ovince Saint Preux,140000260,Light Heavyweight,1983-04-08T00:00:00,75.0,205.0,80.0,25,16,0,0,17,7,12,5,0,2,0,4.4,71.1,2.0,0.9,28.3,28.3,15.7,7.920000000000001
Khamzat Chimaev,140000941,Welterweight,1994-05-01T00:00:00,74.0,171.0,75.0,10,0,0,0,1,0,1,0,0,0,0,2.0,39.7,1.1,1.3,4.6,4.6,0.0,2.8600000000000003
John Makdessi,140000216,Lightweight,1985-05-03T00:00:00,68.0,154.0,68.0,18,7,0,0,4,1,0,0,0,0,0,2.7,36.9,0.0,0.0,5.9,5.9,22.4,0.0
Michael Chiesa,140000444,Welterweight,1987-12-07T00:00:00,73.0,170.0,75.5,18,5,0,0,0,1,11,4,1,0,0,1.8,55.4,3.5,1.0,0.0,0.0,21.4,6.3
Merab Dvalishvili,140000325,Bantamweight,1991-01-10T00:00:00,66.0,135.0,68.0,14,4,0,0,0,0,0,0,0,0,0,0.6,22.1,1.0,0.0,0.7,0.7,12.2,0.0
Bobby Green,140000649,Lightweight,1986-09-09T00:00:00,70.0,155.0,71.0,28,12,1,0,11,3,11,3,0,0,0,8.5,68.3,2.2,0.5,7.5,7.5,24.2,9.350000000000001
Tony Gravely,140000544,Bantamweight,1991-09-28T00:00:00,65.0,135.0,69.0,21,7,0,0,14,2,7,12,5,0,0,10.1,97.8,13.5,1.4,11.1,11.1,8.7,190.89
Elizeu Zaleski dos Santos,140000170,Welterweight,1986-12-11T00:00:00,71.0,170.0,73.0,23,7,0,0,5,0,1,1,0,0,0,1.8,27.4,0.2,0.2,3.8,3.8,10.3,0.07200000000000001
Josh Culibao,140000899,Lightweight,1994-05-24T00:00:00,70.0,146.0,73.0,9,1,1,0,8,2,0,0,0,0,0,4.7,63.2,0.0,0.6,0.0,0.0,11.5,0.0
Roxanne Modafferi,140000281,Women's Flyweight,1982-09-24T00:00:00,67.0,125.0,69.0,25,20,0,0,11,3,14,8,0,8,0,8.0,71.3,3.5,0.2,6.0,6.0,11.0,5.6000000000000005
Cole Williams,140000516,Welterweight,1983-12-15T00:00:00,72.0,175.0,73.0,11,3,0,0,2,0,2,1,0,0,0,0.1,18.6,0.0,0.0,0.0,0.0,0.0,0.0
Kai Kamaka,140001002,Featherweight,1995-01-05T00:00:00,67.0,144.0,69.0,8,4,1,0,0,5,3,0,0,0,0,12.5,97.8,4.8,0.7,0.0,0.0,12.2,42.0
John Phillips,140000186,Middleweight,1985-06-09T00:00:00,71.0,185.0,75.0,22,11,0,1,1,0,0,0,0,0,0,0.1,2.2,0.0,0.0,0.2,0.2,0.0,0.0
Priscila Cachoeira,140000177,Women's Flyweight,1988-08-19T00:00:00,67.0,126.0,65.0,10,3,0,0,11,0,0,2,0,0,0,6.7,55.2,0.0,0.0,20.4,20.4,0.0,0.0
Michael Lombardo,140000426,Welterweight,1990-04-03T00:00:00,72.0,170.0,72.0,12,2,0,1,9,0,7,0,0,0,0,3.4,96.2,5.9,0.0,0.0,0.0,0.0,0.0
Kyle Daukaus,140000427,Middleweight,1993-02-27T00:00:00,75.0,185.0,76.0,10,2,0,1,0,0,11,0,2,0,0,5.6,88.1,3.3,3.3,0.0,0.0,20.4,60.98399999999999
Amanda Lemos,140000886,Women's Strawweight,1987-05-22T00:00:00,64.0,115.0,65.0,10,1,1,0,1,0,0,0,0,0,0,0.9,24.4,0.3,0.1,2.3,2.3,1.1,0.027000000000000003
Ilia Topuria,140001049,Featherweight,1997-01-21T00:00:00,67.0,145.0,69.0,11,0,0,0,7,0,11,0,0,0,0,6.4,76.0,7.7,7.7,27.6,27.6,13.8,379.456
Lando Vannata,140000071,Lightweight,1992-03-14T00:00:00,69.0,146.0,71.0,12,5,2,0,2,0,2,0,0,0,0,2.0,30.8,0.5,0.1,2.2,2.2,4.4,0.1
Melissa Gatto,140000913,Women's Bantamweight,1996-02-05T00:00:00,65.0,124.0,69.0,7,0,2,0,2,0,8,0,0,0,0,13.5,90.1,2.9,0.0,0.0,0.0,0.0,0.0
Natan Levy,140001085,Lightweight,1991-09-30T00:00:00,69.0,155.0,71.0,6,0,0,0,0,0,9,0,0,0,0,4.9,128.0,8.2,8.2,0.0,0.0,0.0,329.47599999999994
Alonzo Menifield,140000009,Light Heavyweight,1987-10-18T00:00:00,72.0,204.0,76.0,11,2,0,0,2,0,0,0,0,0,0,0.8,25.1,0.1,0.1,10.3,10.3,1.5,0.008000000000000002
Ariane Lipski,140000012,Women's Flyweight,1994-01-26T00:00:00,66.0,126.0,67.0,14,7,0,0,2,1,1,0,1,0,0,0.9,25.2,0.0,0.1,0.0,0.0,2.5,0.0
Jessica Andrade,140000349,Women's Strawweight,1991-09-25T00:00:00,61.0,126.0,62.0,22,9,0,0,15,12,12,6,3,9,0,10.7,98.7,8.6,1.1,27.7,27.7,33.2,101.22200000000001
Mark De La Rosa,140000223,Bantamweight,1994-08-31T00:00:00,66.0,135.0,65.0,11,5,0,0,1,1,8,1,0,0,0,4.1,40.4,0.7,0.2,0.0,0.0,8.1,0.574
Aljamain Sterling,140000086,Bantamweight,1989-07-31T00:00:00,67.0,135.0,71.0,20,3,0,0,3,1,10,0,3,0,0,6.2,65.9,2.3,1.1,5.5,5.5,29.4,15.686000000000002
Arman Tsarukyan,140000286,Lightweight,1996-10-11T00:00:00,67.0,155.0,72.5,17,2,0,0,9,1,7,0,0,0,0,5.3,71.7,5.0,0.0,7.8,7.8,19.2,0.0
Polyana Viana,140000126,Women's Strawweight,1992-06-14T00:00:00,65.0,116.0,67.0,12,4,0,0,1,0,3,0,0,0,0,1.3,24.7,0.4,1.2,0.0,0.0,0.0,0.624
Aspen Ladd,140000359,Women's Bantamweight,1995-03-01T00:00:00,66.0,145.0,66.0,9,2,0,0,6,1,1,0,0,0,0,3.6,58.3,1.5,0.7,27.3,27.3,9.1,3.78
Colby Covington,140000521,Welterweight,1988-02-22T00:00:00,71.0,169.0,72.0,16,3,0,0,4,1,7,1,1,3,0,6.1,61.3,6.1,0.2,19.2,19.2,38.4,7.441999999999999
Anthony Pettis,140000220,Lightweight,1987-01-27T00:00:00,70.0,155.0,73.0,24,12,0,0,16,6,14,2,6,4,0,6.2,82.5,1.2,2.2,16.8,16.8,21.0,16.368
Uros Medic,140000952,Lightweight,1993-04-25T00:00:00,73.0,156.0,71.0,7,1,0,0,13,0,5,3,0,0,0,16.9,123.4,0.0,0.0,40.2,40.2,0.0,0.0
Yan Xiaonan,140000394,Women's Strawweight,1989-06-16T00:00:00,65.0,116.0,63.0,13,2,0,1,0,0,0,0,0,0,0,0.6,15.1,0.1,0.0,0.0,0.0,11.8,0.0
Valentina Shevchenko,140000402,Women's Flyweight,1988-03-07T00:00:00,65.0,124.0,66.5,22,3,0,0,13,3,12,0,12,3,0,9.0,112.8,7.3,1.0,26.8,26.8,33.5,65.7
Cameron Church,140000956,Lightweight,1990-09-27T00:00:00,71.0,155.0,72.0,4,1,0,0,1,0,0,0,0,0,0,1.2,22.0,0.0,0.3,0.0,0.0,0.0,0.0
Sam Hughes,140001088,Women's Strawweight,1992-06-28T00:00:00,65.0,115.0,64.5,5,3,0,0,0,0,1,0,0,0,0,1.4,42.9,0.0,0.0,0.0,0.0,0.0,0.0
Christian Aguilera,140000914,Welterweight,1991-11-25T00:00:00,69.0,170.0,72.0,14,8,0,0,11,4,0,2,0,0,0,2.4,40.1,0.0,0.0,4.3,4.3,0.0,0.0
Alan Jouban,140000262,Welterweight,1981-11-25T00:00:00,72.0,170.0,73.5,17,7,0,0,17,8,0,3,0,3,0,14.3,82.9,1.3,0.7,26.5,26.5,26.5,13.013
Khadis Ibragimov,140000584,Light Heavyweight,1995-05-21T00:00:00,75.0,205.0,78.5,8,4,0,0,0,0,1,0,0,0,0,0.8,23.1,0.2,0.1,0.0,0.0,0.0,0.016000000000000004
Paulo Costa,140000556,Middleweight,1991-04-21T00:00:00,73.0,205.0,72.0,13,2,0,0,3,0,0,0,0,0,0,2.0,32.7,0.1,0.0,14.6,14.6,2.0,0.0
Maxim Grishin,140000936,Light Heavyweight,1984-05-02T00:00:00,75.0,210.0,78.0,31,9,2,0,6,1,2,2,0,0,0,1.1,33.2,0.1,0.0,0.9,0.9,0.0,0.0
Julija Stoliarenko,140000874,Women's Featherweight,1993-04-08T00:00:00,67.0,135.0,66.0,9,6,1,0,0,0,1,0,0,0,0,0.2,12.6,0.0,0.0,0.0,0.0,0.0,0.0
Taila Santos,140000037,Women's Flyweight,1993-06-22T00:00:00,66.0,125.0,68.0,18,1,0,0,13,0,3,0,0,0,0,5.9,77.1,4.3,1.3,0.0,0.0,27.0,32.981
Mickey Gall,140000132,Welterweight,1992-01-22T00:00:00,74.0,170.0,74.0,7,3,0,0,0,0,1,0,0,0,0,0.6,26.3,0.3,0.5,0.0,0.0,2.2,0.09
Francisco Trinaldo,140000486,Lightweight,1978-08-24T00:00:00,69.0,170.0,70.0,27,8,0,0,1,0,1,0,0,0,0,0.4,18.2,0.1,0.1,1.5,1.5,10.5,0.004000000000000001
Virna Jandiroba,140000297,Women's Strawweight,1988-05-30T00:00:00,63.0,116.0,64.0,17,3,0,0,0,0,5,0,1,0,0,1.1,35.4,0.9,0.6,0.0,0.0,0.0,0.5940000000000001
Davey Grant,140000644,Bantamweight,1985-12-18T00:00:00,68.0,135.0,69.0,13,5,0,0,4,0,11,6,0,1,0,5.8,61.3,2.9,0.2,13.0,13.0,13.0,3.3640000000000003
Niko Price,140000169,Welterweight,1989-09-29T00:00:00,72.0,170.0,76.0,15,5,0,2,1,0,0,0,0,0,0,0.6,16.4,0.1,0.1,2.1,2.1,0.5,0.006
Mauricio Rua,140000819,Light Heavyweight,1981-11-25T00:00:00,73.0,205.0,76.0,27,12,1,0,32,14,2,7,5,5,0,8.4,93.2,5.0,1.8,80.5,80.5,19.2,75.60000000000001
Guram Kutateladze,140001054,Lightweight,1992-01-08T00:00:00,71.0,155.0,72.0,12,2,0,0,10,0,2,2,0,0,0,5.2,66.8,0.0,0.0,0.0,0.0,10.3,0.0
Ji Yeon Kim,140000623,Women's Flyweight,1989-10-18T00:00:00,67.0,126.0,72.0,9,4,2,0,5,0,7,0,0,0,0,11.6,58.2,0.0,0.0,10.1,10.1,20.2,0.0
Calvin Kattar,140000396,Featherweight,1988-03-26T00:00:00,71.0,145.0,72.0,22,5,0,0,4,0,1,0,0,0,0,2.0,28.2,0.1,0.0,5.9,5.9,3.0,0.0
Jordan Leavitt,140000963,Lightweight,1995-06-02T00:00:00,69.0,155.0,71.0,8,1,0,0,0,0,1,0,0,0,0,0.2,31.8,0.5,0.1,1.8,1.8,0.0,0.010000000000000002
Brad Tavares,140000729,Middleweight,1987-12-21T00:00:00,73.0,184.0,74.0,19,7,0,0,10,6,4,2,0,0,0,6.3,66.8,1.8,0.0,10.8,10.8,64.8,0.0
Anthony Adams,140000811,Middleweight,1988-01-13T00:00:00,73.0,185.0,77.0,9,2,0,0,1,0,0,0,0,0,0,4.2,48.3,0.0,0.0,0.0,0.0,0.0,0.0
Nik Lentz,140000079,Featherweight,1984-08-13T00:00:00,68.0,150.0,68.0,30,12,2,1,11,3,8,2,0,0,0,3.6,61.9,3.5,1.3,7.1,7.1,20.6,16.38
Su Mudaerji,140000586,Bantamweight,1996-01-20T00:00:00,68.0,126.0,72.0,14,4,0,0,18,0,3,11,0,0,0,12.5,87.6,1.1,2.2,15.4,15.4,18.5,30.250000000000007
Miguel Baeza,140000423,Welterweight,1992-08-23T00:00:00,74.0,170.0,74.5,10,2,0,0,5,1,1,0,0,0,0,3.3,42.4,0.3,1.3,13.7,13.7,5.6,1.287
Brady Huang,140000973,Featherweight,1992-12-16T00:00:00,69.0,135.0,69.0,11,2,0,0,8,3,6,0,0,0,0,6.5,44.5,0.0,0.0,0.0,0.0,0.0,0.0
Zhang Weili,140000141,Women's Strawweight,1989-08-13T00:00:00,64.0,115.0,63.0,21,3,0,0,15,2,11,0,5,5,0,12.8,79.3,4.1,0.8,9.7,9.7,19.1,41.984
Dinis Paiva,140001029,Featherweight,1988-05-26T00:00:00,69.0,145.0,71.0,13,8,0,0,11,0,5,10,0,3,0,6.5,65.8,0.0,0.0,0.0,0.0,0.0,0.0
Sijara Eubanks,140000360,Women's Flyweight,1985-04-27T00:00:00,64.0,125.0,67.0,8,6,0,0,8,0,0,0,0,0,0,11.5,78.7,4.9,0.9,11.3,11.3,45.4,50.715
Abubakar Nurmagomedov,140000885,Welterweight,1989-11-13T00:00:00,71.0,170.0,72.0,16,3,1,0,1,0,1,0,0,0,0,0.8,29.7,0.4,0.0,0.0,0.0,1.2,0.0
Mark O. Madsen,140000621,Lightweight,1984-09-23T00:00:00,68.0,156.0,72.0,11,0,0,0,0,0,0,0,0,0,0,0.4,15.5,0.4,0.0,0.9,0.9,1.8,0.0
